Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Harpersville town,73.1,23.5,0.3,0.7,2.6
AL,Hartford,77.9,17.9,0.6,0.1,3.1
AL,Hartselle,91.5,4.3,0.8,0.4,2.5
AL,Harvest CDP,62.2,31.7,0.5,1.2,3.1
AL,Hatton CDP,89.7,0,7.3,0,0
AL,Hayden town,87.6,8.8,0.7,0.2,0
AL,Hayneville town,15,84.5,0,0,0.1
AL,Hazel Green CDP,88.9,5.9,1.5,0.4,2.3
AL,Headland,70.1,27.5,0.4,0.3,1.4
AL,Heath town,88.6,10.6,0,0,1.2
AL,Heflin,87.3,9.4,0.5,0.1,2.4
AL,Helena,82.5,13.1,0.2,1.5,3.3
AL,Henagar,96.2,0,1.8,0,1.4
AL,Highland Lake town,98.8,0,1,0.2,0.7
AL,Highland Lakes CDP,87.6,7.6,0.2,2.3,1.6
AL,Hillsboro town,14.1,80.1,1.8,0.2,1.6
AL,Hissop CDP,25.1,74.3,0,0.2,2
AL,Hobson CDP,99.2,0,0,0,0
AL,Hobson town,12.6,85.9,0,0.4,1.3
AL,Hodges town,98.6,0,1.4,0,1
AL,Hokes Bluff,98.5,0.3,0.1,0.4,0.2
AL,Hollins CDP,89.4,7.7,0.6,0,0.7
AL,Hollis Crossroads CDP,86,5.4,0.3,0,8.4
AL,Holly Pond town,98.5,0.3,0.4,0,1.4
AL,Hollywood town,75.8,14.8,1.7,0.3,4.9
AL,Holt CDP,39.4,55.2,0.4,0.2,7.2
AL,Holtville CDP,90.4,7.4,0.5,0.2,1.3
AL,Homewood,74.6,17.3,0.2,2.2,7.3
AL,Hoover,75.1,14.8,0.2,5.1,6
AL,Horn Hill town,91.7,1.3,3.9,0,3.1
AL,Hueytown,70,27.2,0.3,0.5,2
AL,Huguley CDP,73,25,0.6,0.2,1.2
AL,Huntsville,60.3,31.2,0.6,2.4,5.8
AL,Hurtsboro town,29.1,69.6,0.5,0,2.2
AL,Hytop town,91.5,0.3,4.5,0,3.4
AL,Ider town,93.2,0.6,4,0,0.1
AL,Indian Springs Village,95.7,1.5,0.2,1.9,0.9
AL,Irondale,56.3,35.4,0.3,1.4,7.8
AL,Ivalee CDP,96.1,1.6,0.5,0,1.4
AL,Jackson,54.9,42.9,0.7,0.4,1.4
AL,Jacksons' Gap town,68.2,28.9,0.5,0.5,1.9
AL,Jacksonville,68.7,26.8,0.5,1.3,2.3
AL,Jasper,81.3,13.4,0.3,0.7,4.4
AL,Jemison,77.8,17.7,0.1,0.1,7
AL,Joppa CDP,81.4,0.2,0.8,0,17.2
AL,Kansas town,100,0,0,0,0
AL,Kellyton town,68.2,19.8,0,0,11.5
AL,Kennedy town,83.4,14.3,0,0.2,0.9
AL,Killen town,94,3.2,0.3,0.5,2.4
AL,Kimberly town,96.2,1.8,0.4,0.6,0.8
AL,Kinsey town,49.9,46,0.3,0.1,4
AL,Kinston town,95.6,0.2,2,0.6,0.9
AL,Ladonia CDP,86.5,9.8,0.7,0.3,2.7
AL,La Fayette,29.3,68.8,0.1,0.4,1.9
AL,Lakeview town,86.7,0,3.5,0,0
AL,Lake View town,93.9,4.2,0.1,0.7,0.6
