Geographic Area,City,Median Income
AL,Nauvoo town,27000
AL,Nectar town,35313
AL,Needham town,56458
AL,Newbern town,18750
AL,New Brockton town,41066
AL,New Hope,44224
AL,New Market CDP,59653
AL,New Site town,42143
AL,Newton town,41198
AL,New Union CDP,36429
AL,Newville town,31172
AL,North Courtland town,24097
AL,North Johns town,39750
AL,Northport,53650
AL,Notasulga town,37273
AL,Oak Grove town,40972
AL,Oak Hill town,(X)
AL,Oakman town,40469
AL,Odenville town,51518
AL,Ohatchee town,51688
AL,Oneonta,36852
AL,Onycha town,22917
AL,Opelika,40489
AL,Opp,34695
AL,Orange Beach,57535
AL,Orrville town,16250
AL,Our Town CDP,38125
AL,Owens Cross Roads town,51750
AL,Oxford,51375
AL,Ozark,37813
AL,Paint Rock town,23036
AL,Panola CDP,(X)
AL,Parrish town,29335
AL,Pelham,67907
AL,Pell,41944
AL,Pennington town,(X)
AL,Penton CDP,30417
AL,Perdido CDP,24286
AL,Perdido Beach town,47222
AL,Peterman CDP,28009
AL,Petrey town,38750
AL,Phenix,36698
AL,Phil Campbell town,25852
AL,Pickensville town,31607
AL,Piedmont,28884
AL,Pike Road town,97500
AL,Pinckard town,31042
AL,Pine Apple town,46250
AL,Pine Hill town,30682
AL,Pine Level CDP,56125
AL,Pine Ridge town,24286
AL,Pinson,59909
AL,Pisgah town,26635
AL,Pleasant Grove,63302
AL,Pleasant Groves town,46875
AL,Point Clear CDP,47200
AL,Pollard town,31607
AL,Powell town,30903
AL,Prattville,55297
AL,Priceville town,84375
AL,Prichard,23785
AL,Providence town,40208
AL,Putnam CDP,(X)
AL,Ragland town,38571
AL,Rainbow,49338
AL,Rainsville,39691
AL,Ranburne town,50909
AL,Ray CDP,45909
AL,Red Bay,29076
AL,Redland CDP,75139
AL,Red Level town,38571
AL,Redstone Arsenal CDP,60893
AL,Reece town,43261
AL,Reeltown CDP,74688
AL,Reform town,20136
AL,Rehobeth town,47108
AL,Repton town,23125
AL,Ridgeville town,20625
AL,River Falls town,28977
AL,Riverside town,61417
AL,Riverview town,37222
AL,Roanoke,34956
AL,Robertsdale,47364
AL,Rock Creek CDP,52227
AL,Rockford town,22778
AL,Rock Mills CDP,(X)
AL,Rockville CDP,-
AL,Rogersville town,36346
AL,Rosa town,44808
AL,Russellville,29859
AL,Rutledge town,39688
AL,St. Florian town,62500
AL,St. Stephens CDP,42500
AL,Saks CDP,42070
AL,Samson,22556
AL,Sand Rock town,44375
AL,Sanford town,33333
AL,Saraland,52621
AL,Sardis town,51681
AL,Satsuma,59311
AL,Scottsboro,38007
AL,Section town,30278
AL,Selma,22414
AL,Selmont-West Selmont CDP,23015
AL,Semmes,46596
AL,Sheffield,34205
AL,Shelby CDP,45139
AL,Shiloh town,36250
AL,Shoal Creek CDP,114018
AL,Shorter town,38409
AL,Silas town,27875
AL,Silverhill town,40921
AL,Sims Chapel CDP,86071
AL,Sipsey town,27393
AL,Skyline town,38810
AL,Slocomb,35512
AL,Smiths Station,46354
AL,Smoke Rise CDP,86310
AL,Snead town,35000
AL,Somerville town,40417
AL,Southside,65946
AL,South Vinemont town,26141
AL,Spanish Fort,72747
AL,Spring Garden CDP,(X)
AL,Springville,73906
AL,Spruce Pine CDP,-
AL,Standing Rock CDP,49583
AL,Stapleton CDP,53083
AL,Steele town,31063
AL,Sterrett CDP,31410
AL,Stevenson,38053
AL,Stewartville CDP,43333
AL,Stockton CDP,65000
AL,Sulligent,30050
AL,Sumiton,42321
AL,Summerdale town,39803
AL,Susan Moore town,40417
AL,Sweet Water town,79375
AL,Sylacauga,33407
AL,Sylvania town,46964
AL,Sylvan Springs town,56630
AL,Talladega,29482
AL,Talladega Springs town,50833
AL,Tallassee,38275
AL,Tarrant,25653
AL,Taylor town,43116
AL,Theodore CDP,44284
AL,Thomaston town,48523
AL,Thomasville,36146
AL,Thorsby town,45478
AL,Tibbie CDP,-
AL,Tidmore Bend CDP,48466
AL,Tillmans Corner CDP,48290
AL,Town Creek town,28382
AL,Toxey town,23542
AL,Trafford town,28889
AL,Triana town,41875
AL,Trinity town,73625
AL,Troy,31707
AL,Trussville,82108
AL,Tuscaloosa,39351
AL,Tuscumbia,41176
AL,Tuskegee,26896
AL,Twin town,41705
AL,Underwood-Petersville CDP,39874
AL,Union town,26875
AL,Union Grove town,40313
AL,Union Springs,30032
AL,Uniontown town,14967
AL,Uriah CDP,23421
AL,Valley,39531
AL,Valley Grande,55134
AL,Valley Head town,30391
AL,Vance town,64432
AL,Vandiver CDP,47171
AL,Vernon,30292
AL,Vestavia Hills,84854
AL,Vina town,22500
AL,Vincent town,42692
AL,Vinegar Bend CDP,77083
AL,Vredenburgh town,(X)
AL,Wadley town,25294
AL,Waldo town,32188
AL,Walnut Grove town,38846
AL,Warrior,45396
AL,Waterloo town,39167
AL,Waverly town,55417
AL,Weaver,44851
AL,Webb town,35375
AL,Wedowee town,26574
AL,Weogufka CDP,19792
AL,West Blocton town,36250
AL,West End-Cobb Town CDP,35233
AL,West Jefferson town,45938
AL,Westover town,58906
AL,West Point town,50329
AL,Wetumpka,46190
AL,Whatley CDP,-
AL,White Hall town,18462
AL,White Plains CDP,55781
AL,Whitesboro CDP,36736
AL,Wilsonville town,43456
AL,Wilton town,39750
AL,Winfield,40654
AL,Woodland town,34205
AL,Woodstock town,54519
AL,Woodville town,34444
AL,Yellow Bluff town,16786
AL,York,17399
AK,Adak,78500
AK,Akhiok,26250
AK,Akiachak CDP,38750
AK,Akiak,42000
AK,Akutan,24750
AK,Alakanuk,32917
AK,Alatna CDP,-
AK,Alcan Border CDP,-
AK,Aleknagik,41875
AK,Aleneva CDP,-
AK,Allakaket,26500
AK,Ambler,42344
AK,Anaktuvuk Pass,66250
AK,Anchorage municipality,78326
AK,Anchor Point CDP,51591
AK,Anderson,87708
AK,Angoon,32750
AK,Aniak,60500
AK,Anvik,26563
AK,Arctic Village CDP,26250
AK,Atka,50625
AK,Atmautluak CDP,50625
AK,Atqasuk,52500
AK,Attu Station CDP,-
AK,Badger CDP,75917
AK,Barrow,76902
AK,Bear Creek CDP,81458
AK,Beaver CDP,24000
AK,Beluga CDP,(X)
AK,Bethel,76135
AK,Bettles,50000
AK,Big Delta CDP,65417
AK,Big Lake CDP,70988
AK,Birch Creek CDP,-
AK,Brevig Mission,32344
AK,Buckland,60357
AK,Buffalo Soapstone CDP,68333
AK,Butte CDP,81875
AK,Cantwell CDP,56000
AK,Central CDP,(X)
AK,Chalkyitsik CDP,29375
AK,Chase CDP,-
AK,Chefornak,55625
AK,Chena Ridge CDP,93532
AK,Chenega CDP,(X)
AK,Chevak,41136
AK,Chickaloon CDP,40893
AK,Chicken CDP,-
AK,Chignik,96250
AK,Chignik Lagoon CDP,93438
AK,Chignik Lake CDP,45000
AK,Chiniak CDP,-
AK,Chisana CDP,-
AK,Chistochina CDP,(X)
AK,Chitina CDP,(X)
AK,Chuathbaluk,43750
AK,Circle CDP,17125
AK,Clam Gulch CDP,(X)
AK,Clark's Point,25833
AK,Coffman Cove,41786
AK,Cohoe CDP,57228
AK,Cold Bay,86250
AK,Coldfoot CDP,-
AK,College CDP,73812
AK,Cooper Landing CDP,64301
AK,Copper Center CDP,39063
AK,Cordova,85833
AK,Covenant Life CDP,31875
AK,Craig,63229
AK,Crooked Creek CDP,31250
AK,Crown Point CDP,56688
AK,Deering,50000
AK,Delta Junction,72500
AK,Deltana CDP,74457
AK,Diamond Ridge CDP,69375
AK,Dillingham,66875
AK,Diomede,16250
AK,Dot Lake CDP,-
AK,Dot Lake Village CDP,20625
AK,Dry Creek CDP,(X)
AK,Eagle,33125
AK,Eagle Village CDP,(X)
AK,Edna Bay,-
AK,Eek,39063
AK,Egegik,38125
AK,Eielson AFB CDP,53388
AK,Ekwok,31875
AK,Elfin Cove CDP,106667
AK,Elim,37188
AK,Emmonak,44773
AK,Ester CDP,68163
AK,Eureka Roadhouse CDP,-
AK,Evansville CDP,23750
AK,Excursion Inlet CDP,-
AK,Fairbanks,55229
AK,False Pass,55625
AK,Farmers Loop CDP,100703
AK,Farm Loop CDP,82250
AK,Ferry CDP,-
AK,Fishhook CDP,86917
AK,Flat CDP,-
AK,Fort Greely CDP,(X)
AK,Fort Yukon,39583
AK,Four Mile Road CDP,-
AK,Fox CDP,76563
AK,Fox River CDP,57083
AK,Fritz Creek CDP,61875
AK,Funny River CDP,59314
AK,Gakona CDP,80625
AK,Galena,63333
AK,Gambell,29417
AK,Game Creek CDP,-
AK,Gateway CDP,92739
AK,Glacier View CDP,43000
AK,Glennallen CDP,(X)
AK,Goldstream CDP,88371
AK,Golovin,40000
AK,Goodnews Bay,30313
AK,Grayling,20417
AK,Gulkana CDP,(X)
AK,Gustavus,57639
AK,Haines CDP,69735
AK,Halibut Cove CDP,-
AK,Happy Valley CDP,41625
AK,Harding-Birch Lakes CDP,51042
AK,Healy CDP,88462
AK,Healy Lake CDP,-
AK,Hobart Bay CDP,-
AK,Hollis CDP,103571
AK,Holy Cross,36094
AK,Homer,55849
AK,Hoonah,57708
AK,Hooper Bay,35938
